"Energiebalans; aanbod, omzetting en verbruik"
""
"";""
"";"Energiedragers";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Kernenergie";"Niet biogeen huish. afval en reststoom";"Energie uit overige bronnen"
"Onderwerp";"Perioden";"2019**";"2019**";"2019**";"2019**";"2019**";"2019**";"2019**";"2019**";"2019**";"2019**"
"Energieaanbod|Totaal aanbod (TPES)";"PJ";"3037,7";"268,8";"1105,8";"1341,6";"233,7";"3,1";"";"38,1";"42,0";"4,7"
"Energieaanbod|Winning";"PJ";"1403,5";"";"61,5";"1002,4";"260,4";"";"";"38,1";"36,4";"4,7"
"Energieaanbod|Invoer";"PJ";"10307,7";"278,7";"8136,7";"1778,8";"32,9";"73,5";"";"";"7,1";""
"Energieaanbod|Uitvoer";"PJ";"7919,7";"4,2";"6353,9";"1430,0";"59,7";"70,4";"";"";"1,5";""
"Energieaanbod|Invoersaldo";"PJ";"2388,0";"274,5";"1782,8";"348,8";"-26,8";"3,1";"";"";"5,6";""
"Energieaanbod|Bunkering";"PJ";"666,9";"";"664,4";"2,5";"";"";"";"";"";""
"Energieaanbod|Voorraadmutatie";"PJ";"-86,9";"-5,8";"-74,2";"-7,1";"0,1";"";"";"";".";""
"Statistische verschillen";"PJ";"-9,0";"";"-11,1";"8,8";"-0,3";"-6,4";"";"";"";""
"Totaal energieverbruik";"PJ";"3046,7";"268,8";"1116,9";"1332,7";"234,0";"9,5";"";"38,1";"42,0";"4,7"
"Energieomzetting|Inzet energie voor omzetting|Totaal inzet";"PJ";"5462,4";"347,4";"4249,5";"574,5";"188,3";"12,6";"6,0";"38,1";"42,0";"4,1"
"Energieomzetting|Inzet energie voor omzetting|Inzet elektriciteit/WKK-omzetting";"PJ";"977,4";"171,7";"18,1";"548,8";"146,2";"12,6";"6,0";"38,1";"34,1";"1,8"
"Energieomzetting|Inzet energie voor omzetting|Inzet andere omzetting";"PJ";"4485,0";"175,6";"4231,5";"25,6";"42,1";".";".";"";"7,9";"2,2"
"Energieomzetting|Productie energie uit omzetting|Totaal productie";"PJ";"4979,7";"109,2";"4228,3";"5,9";"";"435,8";"200,5";"";"";""
"Energieomzetting|Productie energie uit omzetting|Productie elektriciteit/WKK-omzetting";"PJ";"610,0";"";"";"";"";"435,8";"174,2";"";"";""
"Energieomzetting|Productie energie uit omzetting|Productie andere omzetting";"PJ";"4369,7";"109,2";"4228,3";"5,9";"";"";"26,3";"";"";""
"Energieomzetting|Saldo inzet-productie energie|Totaal saldo energieomzetting";"PJ";"482,7";"238,2";"21,2";"568,6";"188,3";"-423,3";"-194,5";"38,1";"42,0";"4,1"
"Energieomzetting|Saldo inzet-productie energie|Saldo elektriciteit/WKK-omzetting";"PJ";"367,4";"171,7";"18,1";"548,8";"146,2";"-423,3";"-168,2";"38,1";"34,1";"1,8"
"Energieomzetting|Saldo inzet-productie energie|Saldo andere omzetting";"PJ";"115,3";"66,5";"3,2";"19,7";"42,1";".";"-26,3";"";"7,9";"2,2"
"Eigen verbruik energiesector|Totaal";"PJ";"187,2";"7,7";"99,4";"45,6";".";"20,2";"14,3";"";".";""
"Verliezen bij distributie";"PJ";"26,3";"";"";"";"";"18,2";"8,1";"";"";""
"Finaal verbruik|Totaal finaal verbruik";"PJ";"2350,5";"22,9";"996,3";"718,5";"45,7";"394,4";"172,0";"";".";"0,7"
"Finaal verbruik|Finaal energieverbruik|Totaal";"PJ";"1854,9";"20,4";"613,4";"608,2";"45,7";"394,4";"172,0";"";".";"0,7"
"Finaal verbruik|Niet-energetisch gebruik|Totaal";"PJ";"495,6";"2,4";"382,9";"110,3";"";"";"";"";"";""
