Hoofdcategorie,Categorie,Totaal,Kool,Aardolie,Aardgas,Hernieuwbaar,Elektriciteit,Warmte,Overig
Bronnen voor omzetting,Bronnen voor omzetting,3046.7,268.8,1116.9,1332.7,234,9.5,0,84.8
Bronnen na omzetting,Bronnen na omzetting,2564,30.6,1095.7,764.1,45.7,432.8,194.5,0.6
Omzettingsverliezen,Omzettingsverliezen,482.7,238.2,21.2,568.6,188.3,-423.3,-194.5,84.2
Verbruikers,Energiesector,187.2,7.7,99.4,45.6,0,20.2,14.3,0
Verbruikers,Distributieverliezen,26.3,0,0,0,0,18.2,8.1,0
Verbruikers,Chemische industrie,294.7,0,106.3,69,0.2,45.9,72.7,0.6
Verbruikers,Voedingsindustrie,82.2,1.3,0.1,43.1,1.8,24,11.9,0
Verbruikers,Overige nijverheid,177.5,18.9,21.1,64.8,2.7,58.7,11.1,0.1
Verbruikers,Vervoer,457.8,0,446.6,2.7,0,8.5,0,0
Verbruikers,Diensten,282.9,0.1,10,120,8.3,131.7,12.9,0
Verbruikers,Woningen,389.7,0,1.5,270.2,21.8,84.1,12.1,0
Verbruikers,Landbouw,160.4,0,18.7,38.3,10.9,41.2,51.3,0
Verbruikers,Producten,495.6,2.4,382.9,110.3,0,0,0,0
Verbruikers,Overig,9.7,0,1.6,0,0,0.3,0,0
